,room,event_day,event_hour,detec1,detec2,occupancy,building,estim_nb_ocpnts
134,3,12,15,13.0,12.916666666666666,0.25,school of computer science,22.5
135,3,12,16,12.416666666666666,12.333333333333334,0.0,school of computer science,0.0
136,3,13,9,22.0,22.0,0.5,school of computer science,45.0
137,3,13,10,28.363636363636363,28.363636363636363,0.5,school of computer science,45.0
138,3,13,11,20.363636363636363,20.363636363636363,0.25,school of computer science,22.5
139,3,13,12,25.333333333333332,25.083333333333332,0.25,school of computer science,22.5
140,3,13,13,17.333333333333332,17.083333333333332,0.0,school of computer science,0.0
141,3,13,14,44.916666666666664,44.833333333333336,0.5,school of computer science,45.0
142,3,13,15,37.083333333333336,37.0,0.25,school of computer science,22.5
143,3,13,16,16.25,16.166666666666668,0.25,school of computer science,22.5
144,4,3,9,102.25,102.0,0.75,school of computer science,165.0
145,4,3,10,96.9090909090909,96.45454545454545,0.5,school of computer science,110.0
146,4,3,11,56.45454545454545,56.0,0.5,school of computer science,110.0
147,4,3,12,100.75,100.5,0.5,school of computer science,110.0
148,4,3,13,49.666666666666664,49.666666666666664,0.5,school of computer science,110.0
149,4,3,14,73.81818181818181,73.63636363636364,0.25,school of computer science,55.0
150,4,3,15,57.72727272727273,57.72727272727273,0.25,school of computer science,55.0
151,4,3,16,5.583333333333333,5.583333333333333,0.0,school of computer science,0.0
152,4,4,9,29.545454545454547,29.454545454545453,0.25,school of computer science,55.0
153,4,4,10,7.083333333333333,7.0,0.0,school of computer science,0.0
154,4,4,11,59.63636363636363,59.63636363636363,0.25,school of computer science,55.0
155,4,4,12,60.90909090909091,60.63636363636363,0.5,school of computer science,110.0
156,4,4,13,14.166666666666666,14.083333333333334,0.0,school of computer science,0.0
157,4,4,14,8.916666666666666,8.916666666666666,0.0,school of computer science,0.0
158,4,4,15,1.5454545454545454,1.5454545454545454,0.0,school of computer science,0.0
159,4,4,16,0.5454545454545454,0.5454545454545454,0.0,school of computer science,0.0
160,4,5,9,192.91666666666666,191.58333333333334,1.0,school of computer science,220.0
161,4,5,10,34.18181818181818,34.18181818181818,0.25,school of computer science,55.0
162,4,5,11,63.3,62.9,0.25,school of computer science,55.0
163,4,5,12,44.333333333333336,44.25,0.25,school of computer science,55.0
164,4,5,13,88.5,88.16666666666667,0.5,school of computer science,110.0
165,4,5,14,60.18181818181818,60.18181818181818,0.25,school of computer science,55.0
166,4,5,15,0.25,0.25,0.0,school of computer science,0.0
167,4,5,16,0.0,0.0,0.0,school of computer science,0.0
168,4,6,9,10.916666666666666,10.916666666666666,0.0,school of computer science,0.0
169,4,6,10,59.0,58.833333333333336,0.5,school of computer science,110.0
170,4,6,11,30.25,30.083333333333332,0.25,school of computer science,55.0
171,4,6,12,4.916666666666667,4.916666666666667,0.25,school of computer science,55.0
172,4,6,13,49.2,49.2,0.5,school of computer science,110.0
173,4,6,14,138.25,137.75,0.25,school of computer science,55.0
174,4,6,15,11.666666666666666,11.666666666666666,0.0,school of computer science,0.0
175,4,6,16,1.4166666666666667,1.4166666666666667,0.0,school of computer science,0.0
176,4,9,9,25.545454545454547,25.454545454545453,0.25,school of computer science,55.0
177,4,9,10,31.416666666666668,31.416666666666668,0.25,school of computer science,55.0
178,4,9,11,34.27272727272727,34.27272727272727,0.25,school of computer science,55.0
179,4,9,12,61.0,60.333333333333336,0.25,school of computer science,55.0
180,4,9,13,6.909090909090909,6.909090909090909,0.25,school of computer science,55.0
181,4,9,14,41.666666666666664,41.666666666666664,0.25,school of computer science,55.0
182,4,9,15,70.66666666666667,70.66666666666667,0.5,school of computer science,110.0
183,4,9,16,12.916666666666666,12.833333333333334,0.25,school of computer science,55.0
184,4,10,9,62.0,61.63636363636363,0.25,school of computer science,55.0
185,4,10,10,110.41666666666667,109.66666666666667,0.25,school of computer science,55.0
186,4,10,11,53.75,53.25,0.25,school of computer science,55.0
187,4,10,12,87.45454545454545,87.18181818181819,0.25,school of computer science,55.0
188,4,10,13,51.72727272727273,51.54545454545455,0.25,school of computer science,55.0
189,4,10,14,66.45454545454545,66.18181818181819,0.5,school of computer science,110.0
190,4,10,15,52.833333333333336,52.666666666666664,0.25,school of computer science,55.0
191,4,10,16,2.6666666666666665,2.6666666666666665,0.0,school of computer science,0.0
192,4,11,9,22.90909090909091,22.90909090909091,0.0,school of computer science,0.0
193,4,11,10,3.5833333333333335,3.5833333333333335,0.0,school of computer science,0.0
194,4,11,11,51.54545454545455,51.36363636363637,0.25,school of computer science,55.0
195,4,11,12,60.333333333333336,60.25,0.25,school of computer science,55.0
196,4,11,13,7.4,7.3,0.0,school of computer science,0.0
197,4,11,14,12.166666666666666,12.0,0.0,school of computer science,0.0
198,4,11,15,35.25,35.083333333333336,0.0,school of computer science,0.0
199,4,11,16,5.666666666666667,5.583333333333333,0.0,school of computer science,0.0
200,4,12,9,73.45454545454545,73.36363636363636,0.5,school of computer science,110.0
201,4,12,10,29.916666666666668,29.75,0.5,school of computer science,110.0
202,4,12,11,49.416666666666664,49.166666666666664,0.25,school of computer science,55.0
203,4,12,12,51.54545454545455,51.36363636363637,0.25,school of computer science,55.0
204,4,12,13,73.75,73.58333333333333,0.5,school of computer science,110.0
205,4,12,14,46.0,46.0,0.5,school of computer science,110.0
206,4,12,15,1.1666666666666667,1.1666666666666667,0.25,school of computer science,55.0
207,4,12,16,51.166666666666664,51.083333333333336,0.0,school of computer science,0.0
208,4,13,9,6.583333333333333,6.416666666666667,0.0,school of computer science,0.0
209,4,13,10,54.27272727272727,54.0,0.0,school of computer science,0.0
210,4,13,11,32.81818181818182,32.72727272727273,0.0,school of computer science,0.0
211,4,13,12,6.583333333333333,6.583333333333333,0.0,school of computer science,0.0
212,4,13,13,24.916666666666668,24.833333333333332,0.0,school of computer science,0.0
213,4,13,14,104.0,103.75,0.5,school of computer science,110.0
214,4,13,15,4.833333333333333,4.833333333333333,0.5,school of computer science,110.0
215,4,13,16,0.16666666666666666,0.16666666666666666,0.0,school of computer science,0.0
